##+----------------------------------------------------------------------+
##|                                                                      |
##|Ivybridge Error Status MSR collection                                 |
##|Format# reg name                                                      |
##|                                                                      |
##|   reg - Register offset(0 ~ 0xFFF)                                   |
##|   name - Register name                                               |
##|                                                                      |
##+----------------------------------------------------------------------+
0x400     IA32_MC0_CTL
0x401     IA32_MC0_STATUS
0x402     IA32_MC0_ADDR
0x403     IA32_MC0_MISC
0x404     IA32_MC1_CTL
0x405     IA32_MC1_STATUS
0x406     IA32_MC1_ADDR
0x407     IA32_MC1_MISC
0x408     IA32_MC2_CTL
0x409     IA32_MC2_STATUS
#0x40A     IA32_MC2_ADDR
#0x40B     IA32_MC2_MISC
0x40C     IA32_MC3_CTL
0x40D     IA32_MC3_STATUS
0x40E     IA32_MC3_ADDR
0x40F     IA32_MC3_MISC
0x410     IA32_MC4_CTL
0x411     IA32_MC4_STATUS
0x412     IA32_MC4_ADDR
0x413     IA32_MC4_MISC
0x414     IA32_MC5_CTL
0x415     IA32_MC5_STATUS
0x416     IA32_MC5_ADDR
0x417     IA32_MC5_MISC
0x418     IA32_MC6_CTL
0x419     IA32_MC6_STATUS
#0x41A     IA32_MC6_ADDR
0x41B     IA32_MC6_MISC
0x41C     IA32_MC7_CTL
0x41D     IA32_MC7_STATUS
0x41E     IA32_MC7_ADDR
0x41F     IA32_MC7_MISC
0x420     IA32_MC8_CTL
0x421     IA32_MC8_STATUS
0x422     IA32_MC8_ADDR
0x423     IA32_MC8_MISC
0x424     IA32_MC9_CTL
0x425     IA32_MC9_STATUS
0x426     IA32_MC9_ADDR
0x427     IA32_MC9_MISC
0x428     IA32_MC10_CTL
0x429     IA32_MC10_STATUS
0x42A     IA32_MC10_ADDR
0x42B     IA32_MC10_MISC
0x42C     IA32_MC11_CTL
0x42D     IA32_MC11_STATUS
0x42E     IA32_MC11_ADDR
0x42F     IA32_MC11_MISC
0x430     IA32_MC12_CTL
0x431     IA32_MC12_STATUS
0x432     IA32_MC12_ADDR
0x433     IA32_MC12_MISC
0x434     IA32_MC13_CTL
0x435     IA32_MC13_STATUS
0x436     IA32_MC13_ADDR
0x437     IA32_MC13_MISC
0x438     IA32_MC14_CTL
0x439     IA32_MC14_STATUS
0x43A     IA32_MC14_ADDR
0x43B     IA32_MC14_MISC
0x43C     IA32_MC15_CTL
0x43D     IA32_MC15_STATUS
0x43E     IA32_MC15_ADDR
0x43F     IA32_MC15_MISC
0x440     IA32_MC16_CTL
0x441     IA32_MC16_STATUS
0x442     IA32_MC16_ADDR
0x443     IA32_MC16_MISC
0x444     IA32_MC17_CTL
0x445     IA32_MC17_STATUS
0x446     IA32_MC17_ADDR
0x447     IA32_MC17_MISC
0x448     IA32_MC18_CTL
0x449     IA32_MC18_STATUS
0x44A     IA32_MC18_ADDR
0x44B     IA32_MC18_MISC
0x44C     IA32_MC19_CTL
0x44D     IA32_MC19_STATUS
0x44E     IA32_MC19_ADDR
0x44F     IA32_MC19_MISC
0x450     IA32_MC20_CTL
0x451     IA32_MC20_STATUS
0x452     IA32_MC20_ADDR
0x453     IA32_MC20_MISC
0x454     IA32_MC21_CTL
0x455     IA32_MC21_STATUS
0x456     IA32_MC21_ADDR
0x457     IA32_MC21_MISC
0x458     IA32_MC22_CTL
0x459     IA32_MC22_STATUS
0x45A     IA32_MC22_ADDR
0x45B     IA32_MC22_MISC
0x45C     IA32_MC23_CTL
0x45D     IA32_MC23_STATUS
0x45E     IA32_MC23_ADDR
0x45F     IA32_MC23_MISC
0x460     IA32_MC24_CTL
0x461     IA32_MC24_STATUS
0x462     IA32_MC24_ADDR
0x463     IA32_MC24_MISC
0x464     IA32_MC25_CTL
0x465     IA32_MC25_STATUS
0x466     IA32_MC25_ADDR
0x467     IA32_MC25_MISC
0x468     IA32_MC26_CTL
0x469     IA32_MC26_STATUS
0x46A     IA32_MC26_ADDR
0x46B     IA32_MC26_MISC
0x46C     IA32_MC27_CTL
0x46D     IA32_MC27_STATUS
0x46E     IA32_MC27_ADDR
0x46F     IA32_MC27_MISC
0x470     IA32_MC28_CTL
0x471     IA32_MC28_STATUS
0x472     IA32_MC28_ADDR
0x473     IA32_MC28_MISC
0x474     IA32_MC29_CTL
0x475     IA32_MC29_STATUS
0x476     IA32_MC29_ADDR
0x477     IA32_MC29_MISC
0x478     IA32_MC30_CTL
0x479     IA32_MC30_STATUS
0x47A     IA32_MC30_ADDR
0x47B     IA32_MC30_MISC
0x47C     IA32_MC31_CTL
0x47D     IA32_MC31_STATUS
0x47E     IA32_MC31_ADDR
0x47F     IA32_MC31_MISC
